id,generated_id,voted_for,category,voted_id
150,fnxra5bnbn,JOTI,Best Comedian,
151,yhhtlyymt3,JOTI,Best Comedian,
153,luy5dxgbdz,JOTI,Best Comedian,
155,tbvbhtriqx,GLADNESS KIFALUKA,Best Comedian,
159,269iqnhs7w,JOTI,Best Comedian,
160,zdmyr5v09v,JAMBO NA VIJAMBO,Best Series Comedy(online ,
161,zdmyr5v09v,HASSAN KAZO - CHA UROHO,Best Comedian,
162,gfwkdgcjju,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
163,utbuioz9rn,GODLIVER GODIAN - JUA KALI,Best Actress,
164,3q0k6hr5pr,HASSAN KAZO - CHA UROHO,Best Comedian,
165,4tv1m6vb4e,HASSAN KAZO - CHA UROHO,Best Comedian,
166,ucxi5z3v12,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
167,jrs8vj2ulg,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
168,4cyaplpzx8,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
169,fe2w066rfh,HASSAN KAZO - CHA UROHO,Best Comedian,
170,8kzo7on946,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
171,umbr3twuti,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
172,fe2w066rfh,JAMBO NA VIJAMBO,Best Series Comedy(online ,
173,qlxfvcytg5,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
174,0cx268v1ig,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
175,gm8ejazptf,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
176,qhu84i60pn,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
177,3poeuwzajb,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
178,0mc18qluz1,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
179,01l2ud6tkj,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
180,6e1lyta60y,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
181,l15wjz5ko9,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
182,null,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
183,000fo53yzs,HASSAN KAZO - CHA UROHO,Best Comedian,
184,m3ccsn5gwh,HAIKUFUMA,Best Series,
185,bn5n6qkhjc,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
186,y6j8zrq2if,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
187,y6j8zrq2if,SALUNI YA MAMA KIMBO,Best Comedy,
188,m3ccsn5gwh,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
189,y6j8zrq2if,JOTI,Best Comedian,
190,kd5hc6mr5w,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
191,y6j8zrq2if,SADAM NAWANDA - HAIKUFUMA,Best Upcoming Actor,
192,y6j8zrq2if,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
193,y6j8zrq2if,HAIKUFUMA,Best Series,
194,y6j8zrq2if,NYARA,Best Feature Film,
195,y6j8zrq2if,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
196,y6j8zrq2if,SALUNI YA MAMA KIMBO,Best Series Comedy(online ,
197,y6j8zrq2if,JOHARI THABITI - MALUPELUPE,Best Actress,
198,y6j8zrq2if,BERTHA ABDALLAH - NYARA,Best Upcoming Actress,
199,htugtxiize,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
200,ucwyyjmbu7,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
201,000fo53yzs,JAMBO NA VIJAMBO,Best Series Comedy(online ,
202,hd3k9n3qer,NURU YA MAISHA,Best Feature Film,
203,hd3k9n3qer,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
204,5chu3c4qrq,HASSAN KAZO - CHA UROHO,Best Comedian,
205,hucxkxkld5,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
206,caogzv9ldx,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
207,cn7iu68j8j,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
208,caogzv9ldx,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
209,k8sn0b54st,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
210,ajx59hco01,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
211,yjpdspl3e4,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
212,hd3k9n3qer,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
213,i7d3dyl70n,HASSAN KAZO - CHA UROHO,Best Comedian,
214,yz7wwsvlkg,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
215,o64td3t5c3,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
216,fdo3pbsvib,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
217,ql5djx6lln,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
218,ql5djx6lln,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
219,8wu529n04n,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
220,ql5djx6lln,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
221,fdo3pbsvib,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
222,8wu529n04n,NURU YA MAISHA,Best Feature Film,
223,67q6ngtif1,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
224,fdo3pbsvib,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
225,fqoim5w7ok,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
226,67q6ngtif1,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
227,67q6ngtif1,UGONJWA WA KIFO,Best Feature Film,
228,ql5djx6lln,UGONJWA WA KIFO,Best Feature Film,
229,k8sn0b54st,MAGEUZI EMMANUEL - JANGA,Best Upcoming Actor,
230,knuoc3p25l,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
231,67q6ngtif1,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
232,hd3k9n3qer,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
233,snhmbqn9ok,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
234,foa4uqi6c7,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
235,plpcieq59g,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
236,dsy5scqu31,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
237,chxwtzxcv5,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
238,d0l8v6s96q,HASSAN KAZO - CHA UROHO,Best Comedian,
239,sb5s083zwh,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
240,d0l8v6s96q,JAMBO NA VIJAMBO,Best Series Comedy(online ,
241,m638xw0n0j,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
242,sb5s083zwh,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
243,3zf181pt6s,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
244,801hu8qz89,PASUA KICHWA,Best Comedy,
245,801hu8qz89,PASUA KICHWA,Best Series Comedy(online ,
246,3zf181pt6s,UGONJWA WA KIFO,Best Feature Film,
247,3zf181pt6s,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
248,lvwqub7t18,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
249,3zf181pt6s,GODLIVER GODIAN - JUA KALI,Best Actress,
250,8i6sih7l4k,UGONJWA WA KIFO,Best Feature Film,
251,3zf181pt6s,JOTI,Best Comedian,
252,d0l8v6s96q,JUA KALI,Best Series,
253,3zf181pt6s,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
254,kxofrp01rj,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
255,null,NURU YA MAISHA,Best Feature Film,
256,3zf181pt6s,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
257,bvdos3afpi,OBAMBO,Best Feature Film,
258,3zf181pt6s,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
259,c6lo1haeey,HASSAN KAZO - CHA UROHO,Best Comedian,
260,3zf181pt6s,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
261,cn5egiipye,UGONJWA WA KIFO,Best Feature Film,
262,801hu8qz89,PROFESA MAFINGO,Best Comedian,
263,monyrkcpe5,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
264,kxofrp01rj,NURU YA MAISHA,Best Feature Film,
265,3zf181pt6s,AHADI,Best Series,
266,nbl3bquymr,UGONJWA WA KIFO,Best Feature Film,
267,monyrkcpe5,SALUNI YA MAMA KIMBO,Best Comedy,
268,kxofrp01rj,SALUM AHMEDI  - KESHO,Best Actor,
269,monyrkcpe5,AHADI,Best Series,
270,monyrkcpe5,SALUNI YA MAMA KIMBO,Best Series Comedy(online ,
271,monyrkcpe5,UGONJWA WA KIFO,Best Feature Film,
272,kxofrp01rj,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
273,monyrkcpe5,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
274,monyrkcpe5,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
275,monyrkcpe5,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
276,kxofrp01rj,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
277,monyrkcpe5,KIMBEMBE,Best Comedian,
278,61d2emg6l5,HASSAN KAZO - CHA UROHO,Best Comedian,
279,d0l8v6s96q,OBAMBO,Best Feature Film,
280,cn5egiipye,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
281,8wu529n04n,SALUM AHMEDI  - KESHO,Best Actor,
282,3gkt17uf0p,PASUA KICHWA,Best Comedy,
283,d0l8v6s96q,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
284,3gkt17uf0p,PASUA KICHWA,Best Series Comedy(online ,
285,8wu529n04n,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
286,244otf7u6j,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
287,3gkt17uf0p,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
288,3gkt17uf0p,OBAMBO,Best Feature Film,
289,eqogy1xbp2,UGONJWA WA KIFO,Best Feature Film,
290,caogzv9ldx,UGONJWA WA KIFO,Best Feature Film,
291,cn5egiipye,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
292,8wu529n04n,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
293,h3r22huwcg,PROFESA MAFINGO,Best Comedian,
294,cn5egiipye,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
295,lvwst2i1cq,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
296,lvwst2i1cq,NURU YA MAISHA,Best Feature Film,
297,kxofrp01rj,JUA KALI,Best Series,
298,bi7fhrw0jr,UGONJWA WA KIFO,Best Feature Film,
299,kxofrp01rj,KIMBEMBE,Best Comedian,
300,bhnryx58js,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
301,o8ti2u330w,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
302,lvwst2i1cq,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
303,djscc5703i,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
304,t5v43ax3wi,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
305,ujp027loan,PROFESA MAFINGO,Best Comedian,
306,wq77x0odwv,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
307,crlbnwb1zy,HASSAN KAZO - CHA UROHO,Best Comedian,
308,sw3k8xx19,PROFESA MAFINGO,Best Comedian,
309,fclievlrl7,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
310,3rywp9gcjv,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
311,w8b0221f7x,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
312,67q6ngtif1,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
313,w8b0221f7x,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
314,q81u7tzlic,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
315,w8b0221f7x,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
316,ujsf42zv63,JAMBO NA VIJIMAMBO,Best Comedy,
317,ujsf42zv63,JAMBO NA VIJAMBO,Best Series Comedy(online ,
318,w8b0221f7x,JAMBO NA VIJAMBO,Best Series Comedy(online ,
319,6v3b4gy0ps,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
320,ujsf42zv63,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
321,w8b0221f7x,HAIKUFUMA,Best Series,
322,w8b0221f7x,GODLIVER GODIAN - JUA KALI,Best Actress,
323,ujsf42zv63,JOTI,Best Comedian,
324,w8b0221f7x,OBAMBO,Best Feature Film,
325,hqcqp8es1o,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
326,w8b0221f7x,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
327,3lrjnf2y4n,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
328,m5yoyyqhxx,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
329,jjh223k6hs,HASSAN KAZO - CHA UROHO,Best Comedian,
330,m5yoyyqhxx,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
331,bi88bj5o3u,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
332,lpo7ugj9zm,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
333,rhodpuiv55,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
334,rhodpuiv55,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
335,m5yoyyqhxx,GODLIVER GODIAN - JUA KALI,Best Actress,
336,usnullvf7p,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
337,sxajyrymu4,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
338,kctrx6nerq,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
339,m5yoyyqhxx,JUA KALI,Best Series,
340,axo2nwkqkw,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
341,1d30qbid9e,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
342,bi7fhrw0jr,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
343,null,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
344,kctrx6nerq,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
345,yesbbr538e,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
346,sj9634aeha,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
347,mfsnkf1r11,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
348,usnullvf7p,NURU YA MAISHA,Best Feature Film,
349,yesbbr538e,KITIMTIM,Best Comedy,
350,bi7fhrw0jr,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
351,yesbbr538e,AHADI,Best Series,
352,b5howzozzt,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
353,bw64izy9x8,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
354,6y9qadlhzw,PASUA KICHWA,Best Comedy,
355,hw1u9zkks0,HASSAN KAZO - CHA UROHO,Best Comedian,
356,i464whatrm,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
357,yesbbr538e,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
358,djscc5703i,JUA KALI,Best Series,
359,xy2ln6301k,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
360,djscc5703i,UGONJWA WA KIFO,Best Feature Film,
361,bi7fhrw0jr,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
362,djscc5703i,KITIMTIM,Best Comedy,
363,bi7fhrw0jr,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
364,djscc5703i,SALUNI YA MAMA KIMBO,Best Series Comedy(online ,
365,takl052irx,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
366,kie99rgckq,PROFESA MAFINGO,Best Comedian,
367,djscc5703i,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
368,djscc5703i,GODLIVER GODIAN - JUA KALI,Best Actress,
369,0oiwqbu1fe,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
370,djscc5703i,GLADNESS KIFALUKA,Best Comedian,
371,djscc5703i,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
372,6e1lyta60y,COJACK CHILO (ADAM MBENA) - NYARA,Best Actor Audience Choice,
373,9eoj4efjbm,JANGA,Best Feature Film,
374,djscc5703i,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
375,m6ixbj52i2,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
376,sserz3vzwa,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
377,djscc5703i,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
378,6e1lyta60y,PROFESA MAFINGO,Best Comedian,
379,tt8wiq938j,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
380,djscc5703i,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
381,28g7tmtzpd,PROFESA MAFINGO,Best Comedian,
382,hykqaya4lg,NURU YA MAISHA,Best Feature Film,
383,tt8wiq938j,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
384,n09paviist,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
385,7nrno11u7k,JAMBO NA VIJIMAMBO,Best Comedy,
386,m6ixbj52i2,NURU YA MAISHA,Best Feature Film,
387,7nrno11u7k,JAMBO NA VIJAMBO,Best Series Comedy(online ,
388,ycqsl8rhud,PROFESA MAFINGO,Best Comedian,
389,8ep088mhdk,PASUA KICHWA,Best Comedy,
390,rhodpuiv55,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
391,n09paviist,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
392,d2r8fs0f74,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
393,i61jtqcy28,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
394,xggjjhve3m,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
395,2t3ko2rsnq,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
396,me0nd9vpbr,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
397,lxzj3uloqz,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
398,1pfmdjw3po,HASSAN KAZO - CHA UROHO,Best Comedian,
399,me0nd9vpbr,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
400,hykqaya4lg,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
401,me0nd9vpbr,JUA KALI,Best Series,
402,rhodpuiv55,NURU YA MAISHA,Best Feature Film,
403,me0nd9vpbr,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
404,usnullvf7p,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
405,9eoj4efjbm,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
406,zoqoykuxs9,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
407,me0nd9vpbr,NURU YA MAISHA,Best Feature Film,
408,me0nd9vpbr,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
409,hykqaya4lg,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
410,9eoj4efjbm,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
411,dg6ypsahp3,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
412,3znm50txtk,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
413,0tfwvxiat6,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
414,lzyqancb5q,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
415,c7lut2f5g3,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
416,53qut4ev33,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
417,z647dwhsbn,PASUA KICHWA,Best Comedy,
418,m6ixbj52i2,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
419,m6ixbj52i2,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
420,rmb4gzi0cu,SELEMAN BARAFU (MUDILEE) - SLAY QUEEN,Best Actor Audience Choice,
421,z9ju5hhdi8,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
422,rmb4gzi0cu,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
423,hmqlqj3n27,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
424,z9ju5hhdi8,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
425,d2r8fs0f74,UGONJWA WA KIFO,Best Feature Film,
426,9jc0lufwyy,NURU YA MAISHA,Best Feature Film,
427,r0amzhjoqz,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
428,h9frpx42y0,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
429,6j2ngwwq91,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
430,pg81f4g4au,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
431,v8lv421hfi,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
432,z9ju5hhdi8,NURU YA MAISHA,Best Feature Film,
433,2k34hiypjl,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
434,h9frpx42y0,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
435,bvqwu3ypzy,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
436,z9ju5hhdi8,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
437,bvqwu3ypzy,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
438,ab91yynf3q,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
439,2z2sc9iw82,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
440,uacpg2a76d,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
441,3pxzc6gzzl,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
442,1ccwcgll5u,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
443,lpo7ugj9zm,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
444,nmq6cu73b1,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
445,d2r8fs0f74,SALUM AHMEDI  - KESHO,Best Actor,
446,takl052irx,UGONJWA WA KIFO,Best Feature Film,
447,z2a54prys8,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
448,ahjputx8yy,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
449,6j2ngwwq91,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
450,htsdn73z99,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
451,r6j53r9hd6,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
452,1sgt791hvf,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
453,ucxi5z3v12,SELEMAN BARAFU (MUDILEE) - SLAY QUEEN,Best Actor Audience Choice,
454,n0o3v6wglz,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
455,jhqj3gknj4,HASSAN KAZO - CHA UROHO,Best Comedian,
456,fsggrd1g0r,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
457,z2a54prys8,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
458,ab91yynf3q,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
459,2erzk8c01d,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
460,fft35eckmg,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
461,25vgc47ezx,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
462,sq64d68b31,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
463,7riow0766l,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
464,8ep088mhdk,PASUA KICHWA,Best Series Comedy(online ,
465,y8l9dhgovo,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
466,2erzk8c01d,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
467,xiuzy1r9i1,NURU YA MAISHA,Best Feature Film,
468,iqymqqfbb6,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
469,ksimo6zj62,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
470,tcz4141q1b,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
471,6sb7qy27vj,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
472,3m5go14dt5,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
473,4h21enyvq6,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
474,vlplxferm2,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
475,6ni2sojr5g,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
476,r77kxz11o7,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
477,j0aipa7oig,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
478,1va9bv6yj3,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
479,takl052irx,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
480,ahjputx8yy,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
481,48bfwzi874,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
