id,generated_id,voted_for,category,voted_id
7244,zit3vjrtob,PROFESA MAFINGO,Best Comedian,
7245,lyvblers72,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
7246,yre4lt4x7u,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7247,whgrya12bo,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7248,zljgnj2hwl,GODLIVER GODIAN - JUA KALI,Best Actress,
7249,sxrvu0hua2,MARRY MTEMI (MALKIA SHEBA) - BANTU,Best Actress Audience Choice,
7250,j0aipa7oig,AHADI,Best Series,
7251,eaaq79ybwl,GODLIVER GODIAN - JUA KALI,Best Actress,
7252,ir8ql9ufkf,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7253,wku23yhexb,KIMBEMBE,Best Comedian,
7254,o1f93orsoy,BEATRICE TAISAMO - HAIKUFUMA,Best Supporting Actress,
7255,sskvm7bskj,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7256,eqlsxqi4np,PROFESA MAFINGO,Best Comedian,
7257,zljgnj2hwl,JOTI,Best Comedian,
7258,10wuyo9mzc,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
7259,iudewsrvoe,MOHAMEDY KINGARA (IDDY KAPALATA) - JUA KALI,Best Actor Audience Choice,
7260,ggxkf800g7,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7261,6kyujsv98r,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7262,bu97i5b3vx,ALLY SIWILA (BANZO) - JANGA,Best Actor Audience Choice,
7263,wrqugxpgqh,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
7264,eaaq79ybwl,SALUM AHMEDI  - KESHO,Best Actor,
7265,90bb6yrxc8,SALUM AHMEDI  - KESHO,Best Actor,
7266,wdqv55h91i,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7267,kb6vpadhm7,FLORAH KIHOMBO - NURU YA MAISHA,Best Actress Audience Choice,
7268,310tbzf9r9,GODLIVER GODIAN - JUA KALI,Best Actress,
7269,rhw5mq8o2m,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7270,eaaq79ybwl,JOTI,Best Comedian,
7271,ou7x8y3d3y,GODLIVER GODIAN - JUA KALI,Best Actress,
7272,iudewsrvoe,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7273,8hx78np1hx,MOHAMEDY KINGARA (IDDY KAPALATA) - JUA KALI,Best Actor Audience Choice,
7274,k6ud13zbd3,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7275,0kwqdsjy3y,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
7276,null,JIDAH HAMZA - OBAMBO,Best Actress Audience Choice,
